Report date: 2026-03-09 12:57:09
numer 125.000000 / denom 3.000000
IOSADIAGNOSESTREAM = { 
    { 0x2, 11, 64, 256, },
    { 
        { 0x1, 0, 0x0000005d7d07, 0x0001, 0066, 262, 0x00000000, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acbdde6, 0x0117, 1618, 399, 0x00000001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acbde3b, 0x0176, 2014, 7913, 0x4600000000, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc8136, 0x0175, 1981, 8421, 0x4700010001, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc8163, 0x011f, 2498, 8421, 0x200000017, 0xfba3ec8bfdddb20f, 0x8, 0x0, 0x0, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc8164, 0x0149, 6431, 8421, 0x002dfb94, 0xfba3ec8bfdddb20f, 0x8, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc8164, 0x017f, 6692, 8421, 0x102dfb9402dfb940, 0x0000000000000000, 0x0, 0x0, 0x0, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0, },
        { 0x1, 0, 0x00000acc8164, 0x0148, 6461, 8421, 0x00000000, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc8164, 0x0125, 2945, 8421, 0x00000017, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc817e, 0x010a, 5185, 8421, 0xffffffe0181666a0, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc817e, 0x010c, 5194, 8421, 0xffffffe016f752a0, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc8249, 0x010a, 5185, 8421, 0xffffffe018165bc0, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc824a, 0x010c, 5194, 8421, 0xffffffe017141a30, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc824b, 0x0135, 5397, 8421, 0x00001001, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
        { 0x1, 0, 0x00000acc824b, 0x0142, 0169, 8421, 0x00000100, 0xfba3ec8bfdddb20f, 0x0, 0xc1f39e10bf83691d, 0xe276f6ab132ba157, 0x5f6ecfe276c83291, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 0x0000000000000000, 1, },
