2024-08-27 15:37:16 status half-installed libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-08-27 15:37:16 status unpacked libproc2-0:amd64 2:4.0.4-4ubuntu3
2024-08-27 15:37:16 install libselinux1:amd64 <none> 3.5-2ubuntu2
2024-08-27 15:37:16 status half-installed libselinux1:amd64 3.5-2ubuntu2
2024-08-27 15:37:16 status unpacked libselinux1:amd64 3.5-2ubuntu2
2024-08-27 15:37:16 install libsemanage-common:all <none> 3.5-1build5
2024-08-27 15:37:16 status half-installed libsemanage-common:all 3.5-1build5
2024-08-27 15:37:16 status unpacked libsemanage-common:all 3.5-1build5
2024-08-27 15:37:16 install libsemanage2:amd64 <none> 3.5-1build5
2024-08-27 15:37:16 status half-installed libsemanage2:amd64 3.5-1build5
2024-08-27 15:37:16 status unpacked libsemanage2:amd64 3.5-1build5
2024-08-27 15:37:16 install libsepol2:amd64 <none> 3.5-2build1
2024-08-27 15:37:16 status half-installed libsepol2:amd64 3.5-2build1
2024-08-27 15:37:16 status unpacked libsepol2:amd64 3.5-2build1
2024-08-27 15:37:16 install libsmartcols1:amd64 <none> 2.39.3-9ubuntu6
2024-08-27 15:37:16 status half-installed libsmartcols1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 status unpacked libsmartcols1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 install libss2:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:16 status half-installed libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:16 status unpacked libss2:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:16 install libssl3t64:amd64 <none> 3.0.13-0ubuntu3
2024-08-27 15:37:16 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3
2024-08-27 15:37:16 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3
2024-08-27 15:37:16 install libsystemd0:amd64 <none> 255.4-1ubuntu8
2024-08-27 15:37:16 status half-installed libsystemd0:amd64 255.4-1ubuntu8
2024-08-27 15:37:16 status unpacked libsystemd0:amd64 255.4-1ubuntu8
2024-08-27 15:37:16 install libtinfo6:amd64 <none> 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 status half-installed libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 status unpacked libtinfo6:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:16 install libudev1:amd64 <none> 255.4-1ubuntu8
2024-08-27 15:37:16 status half-installed libudev1:amd64 255.4-1ubuntu8
2024-08-27 15:37:16 status unpacked libudev1:amd64 255.4-1ubuntu8
2024-08-27 15:37:16 install libuuid1:amd64 <none> 2.39.3-9ubuntu6
2024-08-27 15:37:16 status half-installed libuuid1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 status unpacked libuuid1:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:16 install libzstd1:amd64 <none> 1.5.5+dfsg2-2build1
2024-08-27 15:37:16 status half-installed libzstd1:amd64 1.5.5+dfsg2-2build1
2024-08-27 15:37:16 status unpacked libzstd1:amd64 1.5.5+dfsg2-2build1
2024-08-27 15:37:17 install login:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 status half-installed login:amd64 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 status unpacked login:amd64 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 install logsave:amd64 <none> 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:17 status half-installed logsave:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:17 status unpacked logsave:amd64 1.47.0-2.4~exp1ubuntu4
2024-08-27 15:37:17 upgrade mawk:amd64 1.3.4.20240123-1build1 1.3.4.20240123-1build1
2024-08-27 15:37:17 status half-configured mawk:amd64 1.3.4.20240123-1build1
2024-08-27 15:37:17 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-08-27 15:37:17 status half-installed mawk:amd64 1.3.4.20240123-1build1
2024-08-27 15:37:17 status unpacked mawk:amd64 1.3.4.20240123-1build1
2024-08-27 15:37:17 install mount:amd64 <none> 2.39.3-9ubuntu6
2024-08-27 15:37:17 status half-installed mount:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:17 status unpacked mount:amd64 2.39.3-9ubuntu6
2024-08-27 15:37:17 install ncurses-base:all <none> 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status half-installed ncurses-base:all 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status unpacked ncurses-base:all 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 install ncurses-bin:amd64 <none> 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status half-installed ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 status unpacked ncurses-bin:amd64 6.4+20240113-1ubuntu2
2024-08-27 15:37:17 install passwd:amd64 <none> 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 status half-installed passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 status unpacked passwd:amd64 1:4.13+dfsg1-4ubuntu3
2024-08-27 15:37:17 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2
2024-08-27 15:37:17 status half-configured perl-base:amd64 5.38.2-3.2build2
2024-08-27 15:37:17 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-08-27 15:37:17 status half-installed perl-base:amd64 5.38.2-3.2build2
2024-08-27 15:37:17 status unpacked perl-base:amd64 5.38.2-3.2build2
2024-08-27 15:37:17 install procps:amd64 <none> 2:4.0.4-4ubuntu3
2024-08-27 15:37:17 status half-installed procps:amd64 2:4.0.4-4ubuntu3
2024-08-27 15:37:17 status unpacked procps:amd64 2:4.0.4-4ubuntu3
2024-08-27 15:37:17 install sed:amd64 <none> 4.9-2build1
2024-08-27 15:37:17 status half-installed sed:amd64 4.9-2build1
2024-08-27 15:37:17 status unpacked sed:amd64 4.9-2build1
2024-08-27 15:37:17 install sensible-utils:all <none> 0.0.22
2024-08-27 15:37:17 status half-installed sensible-utils:all 0.0.22
2024-08-27 15:37:17 status unpacked sensible-utils:all 0.0.22
2024-08-27 15:37:17 install sysvinit-utils:amd64 <none> 3.08-6ubuntu3
2024-08-27 15:37:17 status half-installed sysvinit-utils:amd64 3.08-6ubuntu3
2024-08-27 15:37:17 status unpacked sysvinit-utils:amd64 3.08-6ubuntu3
2024-08-27 15:37:17 install tar:amd64 <none> 1.35+dfsg-3build1
